Marca,Modelo,Fallo,Solucion,Fecha
Sony,Xperia 1,Sonido bajo,Cambio de flex,2023-12-16 19:43:00
Xiaomi,Redmi 10,Batería no carga,Revisión completa,2023-10-02 23:11:00
Nokia,5.3,Batería no carga,Cambio de batería,2023-06-14 11:04:00
Motorola,Moto G7,No reconoce SIM,Limpieza de puerto,2023-02-14 19:08:00
Apple,iPhone 14,No vibra,Limpieza de puerto,2024-07-26 06:09:00
Xiaomi,Redmi 10,Se calienta,Reparación de placa,2023-11-24 16:09:00
Motorola,Moto G7,No vibra,Limpieza de puerto,2024-09-29 03:46:00
Apple,iPhone 12,WiFi no funciona,Cambio de batería,2023-03-02 06:06:00
Xiaomi,Poco M4,Se reinicia solo,Cambio de flex,2023-02-09 15:14:00
Oppo,A54,Se reinicia solo,Limpieza de puerto,2024-07-04 16:34:00
Xiaomi,Poco X3,No reconoce SIM,Cambio de batería,2023-03-13 11:39:00
Sony,Xperia 10,Pantalla rota,Cambio de flex,2023-12-05 23:20:00
Nokia,3.2,No reconoce SIM,Cambio de batería,2023-08-27 03:14:00
Huawei,P30,No reconoce SIM,Cambio de flex,2024-06-28 02:42:00
Sony,Xperia 1,Pantalla rota,Soldadura puntual,2024-08-19 21:35:00
Samsung,M12,WiFi no funciona,Actualización de software,2023-01-30 13:23:00
Apple,iPhone X,No reconoce SIM,Revisión completa,2023-05-15 09:48:00
Motorola,Moto G7,No vibra,Revisión completa,2024-11-28 08:41:00
Huawei,Y9,Batería no carga,Revisión completa,2024-09-06 21:51:00
Oppo,A15,Se calienta,Actualización de software,2024-11-22 02:31:00
Apple,iPhone 13,No reconoce SIM,Soldadura puntual,2023-03-15 11:37:00
Sony,Xperia 10,Se calienta,Soldadura puntual,2023-05-14 11:43:00
Sony,Xperia 5,WiFi no funciona,Actualización de software,2024-11-23 06:39:00
Samsung,S22,Batería no carga,Actualización de software,2023-03-23 06:29:00
Xiaomi,Redmi 10,WiFi no funciona,Reparación de placa,2024-10-10 16:57:00
Apple,iPhone 14,No enciende,Reparación de placa,2024-03-06 20:13:00
Sony,Xperia L3,Sonido bajo,Cambio de pantalla,2024-02-12 05:20:00
Sony,Xperia 1,No reconoce SIM,Cambio de pantalla,2023-04-09 21:13:00
Oppo,Reno 6,Batería no carga,Revisión completa,2023-03-04 02:02:00
Apple,iPhone X,Se calienta,Cambio de batería,2024-05-27 09:27:00
Xiaomi,Mi 10,No enciende,Cambio de pantalla,2023-07-20 02:22:00
Apple,iPhone X,WiFi no funciona,Cambio de pantalla,2023-10-12 13:18:00
Motorola,Moto G8,Pantalla rota,Soldadura puntual,2023-10-11 01:58:00
Sony,Xperia L3,Batería no carga,Cambio de pantalla,2023-06-24 08:51:00
Nokia,5.3,Cámara falla,Revisión completa,2023-06-21 02:45:00
Oppo,Reno 5,Sonido bajo,Soldadura puntual,2024-03-07 19:03:00
Xiaomi,Redmi 10,Cámara falla,Actualización de software,2023-08-27 18:01:00
Samsung,A30,Se calienta,Cambio de pantalla,2023-10-12 10:32:00
Huawei,P40,Se calienta,Cambio de pantalla,2023-05-22 20:00:00
Oppo,Reno 5,Cámara falla,Actualización de software,2023-12-12 10:22:00
Samsung,A10,No vibra,Reparación de placa,2024-05-31 10:29:00
Xiaomi,Poco M4,No vibra,Limpieza de puerto,2024-08-25 00:03:00
Huawei,P40,No reconoce SIM,Soldadura puntual,2024-06-12 18:12:00
Apple,iPhone 13,No vibra,Cambio de pantalla,2023-03-17 05:01:00
Xiaomi,Poco X3,No reconoce SIM,Reparación de placa,2023-12-06 17:59:00
Apple,iPhone 11,Sonido bajo,Reparación de placa,2024-09-02 08:03:00
Sony,Xperia L3,Se reinicia solo,Reparación de placa,2024-02-21 02:47:00
Motorola,Moto G9,Pantalla rota,Reparación de placa,2023-09-24 05:04:00
Xiaomi,Mi 11,Batería no carga,Reemplazo de módulo,2023-09-19 18:36:00
Huawei,P40,Cámara falla,Actualización de software,2024-11-20 09:45:00
Apple,iPhone 8,No enciende,Cambio de batería,2024-01-13 19:04:00
Samsung,S21,Cámara falla,Cambio de batería,2024-08-04 03:50:00
Sony,Xperia 5,No enciende,Cambio de flex,2023-12-12 01:15:00
Samsung,S22,No enciende,Limpieza de puerto,2023-07-24 06:44:00
Samsung,J7,WiFi no funciona,Reemplazo de módulo,2024-07-21 00:13:00
Xiaomi,Redmi 9,Cámara falla,Limpieza de puerto,2023-04-11 20:50:00
Oppo,Reno 6,No reconoce SIM,Revisión completa,2023-09-14 09:44:00
Apple,iPhone 12,No enciende,Cambio de flex,2023-10-28 20:02:00
Samsung,S22,Batería no carga,Soldadura puntual,2024-03-10 20:50:00
Motorola,Moto G8,Sonido bajo,Limpieza de puerto,2023-07-17 12:21:00
Xiaomi,Poco M4,Batería no carga,Revisión completa,2023-06-21 20:41:00
Samsung,S21,Sonido bajo,Actualización de software,2023-07-11 04:07:00
Sony,Xperia 1,Batería no carga,Actualización de software,2024-10-22 07:26:00
Sony,Xperia 10,Sonido bajo,Reemplazo de módulo,2023-04-18 05:27:00
Nokia,7.2,Cámara falla,Cambio de flex,2023-06-03 11:28:00
Sony,Xperia L3,Sonido bajo,Soldadura puntual,2023-03-27 19:03:00
Xiaomi,Redmi 10,No reconoce SIM,Cambio de flex,2024-01-16 16:54:00
Sony,Xperia 1,Se reinicia solo,Reemplazo de módulo,2023-07-18 01:45:00
Sony,Xperia L3,Cámara falla,Reparación de placa,2023-03-31 10:38:00
Apple,iPhone X,Se reinicia solo,Cambio de pantalla,2023-11-15 16:59:00
Motorola,Moto E6,Batería no carga,Reparación de placa,2024-05-20 17:45:00
Motorola,Moto E6,WiFi no funciona,Soldadura puntual,2023-03-28 15:31:00
Oppo,Reno 6,Se reinicia solo,Reemplazo de módulo,2023-11-14 03:25:00
Xiaomi,Poco M4,Sonido bajo,Cambio de batería,2024-03-01 19:20:00
Samsung,S21,Batería no carga,Reparación de placa,2024-09-19 00:43:00
Motorola,Moto E6,Se calienta,Cambio de pantalla,2024-05-26 09:04:00
Xiaomi,Redmi 10,Se reinicia solo,Reparación de placa,2023-10-25 10:30:00
Xiaomi,Poco M4,Sonido bajo,Soldadura puntual,2023-06-14 09:43:00
Sony,Xperia 5,Se calienta,Soldadura puntual,2023-09-05 03:22:00
Apple,iPhone 12,Sonido bajo,Revisión completa,2023-04-30 22:03:00
Xiaomi,Mi 10,Se reinicia solo,Soldadura puntual,2023-02-03 06:55:00
Oppo,A57,Pantalla rota,Reparación de placa,2024-04-08 16:45:00
Xiaomi,Mi 11,No enciende,Reparación de placa,2023-06-20 05:44:00
Huawei,Y9,Sonido bajo,Soldadura puntual,2024-01-07 18:36:00
Sony,Xperia 5,Batería no carga,Reparación de placa,2023-04-11 16:42:00
Huawei,P20,No reconoce SIM,Soldadura puntual,2023-04-18 18:39:00
Huawei,P20,Se calienta,Soldadura puntual,2024-06-22 02:37:00
Oppo,Reno 5,Cámara falla,Soldadura puntual,2024-04-30 21:09:00
Samsung,S20,Cámara falla,Actualización de software,2024-07-11 00:58:00
Oppo,Reno 6,Batería no carga,Revisión completa,2024-06-24 14:38:00
Sony,Xperia L3,No reconoce SIM,Cambio de pantalla,2023-08-13 05:04:00
Nokia,6.1,No reconoce SIM,Actualización de software,2023-07-21 23:30:00
Oppo,Reno 5,No enciende,Reemplazo de módulo,2023-03-01 10:48:00
Xiaomi,Poco M4,WiFi no funciona,Revisión completa,2024-03-23 12:59:00
Sony,Xperia 1,WiFi no funciona,Revisión completa,2024-10-20 09:29:00
Nokia,6.1,Pantalla rota,Soldadura puntual,2024-08-30 11:36:00
Sony,Xperia 5,Batería no carga,Cambio de batería,2024-02-09 14:53:00
Samsung,A30,No reconoce SIM,Soldadura puntual,2023-01-21 03:21:00
Motorola,Moto G7,Se calienta,Actualización de software,2023-01-25 22:56:00
Huawei,P20,Batería no carga,Soldadura puntual,2024-02-05 18:29:00
Motorola,Moto G7,Sonido bajo,Reemplazo de módulo,2024-06-16 07:08:00
Nokia,3.2,WiFi no funciona,Cambio de pantalla,2023-06-24 23:57:00
Samsung,J7,Cámara falla,Soldadura puntual,2024-10-09 06:33:00
Motorola,Moto G30,No enciende,Cambio de batería,2023-12-28 14:05:00
Nokia,3.2,Pantalla rota,Revisión completa,2023-11-07 07:18:00
Oppo,Reno 6,Batería no carga,Cambio de flex,2023-05-15 02:25:00
Motorola,Moto G8,No vibra,Actualización de software,2023-01-16 23:37:00
Oppo,Reno 5,Batería no carga,Cambio de pantalla,2023-09-22 15:21:00
Sony,Xperia L3,Pantalla rota,Cambio de flex,2024-06-29 20:57:00
Apple,iPhone 8,Se reinicia solo,Cambio de pantalla,2023-01-24 12:49:00
Huawei,P20,Pantalla rota,Actualización de software,2024-08-18 09:39:00
Motorola,Moto G9,WiFi no funciona,Cambio de pantalla,2023-11-28 16:41:00
Oppo,Reno 6,Batería no carga,Reparación de placa,2023-01-03 16:33:00
Huawei,P30,Batería no carga,Actualización de software,2024-04-03 01:58:00
Samsung,A10,WiFi no funciona,Reparación de placa,2024-07-22 13:02:00
Samsung,S20,Cámara falla,Cambio de pantalla,2023-01-29 02:52:00
Nokia,2.1,No reconoce SIM,Soldadura puntual,2023-03-22 11:49:00
Xiaomi,Poco X3,Sonido bajo,Cambio de batería,2023-10-01 09:48:00
Xiaomi,Poco M4,WiFi no funciona,Revisión completa,2023-07-20 11:40:00
Xiaomi,Redmi 10,Cámara falla,Cambio de pantalla,2024-01-06 17:57:00
Motorola,Moto G30,Se calienta,Cambio de batería,2024-08-10 09:55:00
Oppo,Reno 6,Se reinicia solo,Soldadura puntual,2023-07-02 08:53:00
Samsung,J7,No vibra,Reparación de placa,2024-06-10 10:45:00
Sony,Xperia 10,Cámara falla,Actualización de software,2023-05-09 17:19:00
Huawei,Y9,Se reinicia solo,Reparación de placa,2023-05-08 23:10:00
Xiaomi,Mi 11,No reconoce SIM,Reparación de placa,2023-12-23 05:15:00
Huawei,Y7,Batería no carga,Actualización de software,2024-11-24 18:17:00
Huawei,Y9,Batería no carga,Reparación de placa,2023-12-06 15:38:00
Nokia,7.2,WiFi no funciona,Soldadura puntual,2024-06-13 22:14:00
Huawei,Y7,No vibra,Cambio de pantalla,2023-10-01 06:44:00
Nokia,6.1,Pantalla rota,Revisión completa,2023-01-09 07:49:00
Apple,iPhone 14,Se calienta,Revisión completa,2024-03-14 10:24:00
Nokia,6.1,Pantalla rota,Actualización de software,2024-01-31 12:39:00
Sony,Xperia 5,No vibra,Limpieza de puerto,2024-04-18 17:49:00
Sony,Xperia 5,No enciende,Cambio de pantalla,2024-09-20 07:42:00
Apple,iPhone X,Se calienta,Reemplazo de módulo,2024-01-09 02:48:00
Xiaomi,Poco X3,Batería no carga,Soldadura puntual,2024-10-31 04:43:00
Motorola,Moto E6,Sonido bajo,Soldadura puntual,2023-10-15 11:50:00
Sony,Xperia L3,Sonido bajo,Limpieza de puerto,2023-05-16 14:38:00
Sony,Xperia 5,No enciende,Cambio de flex,2023-03-28 19:44:00
Nokia,6.1,Sonido bajo,Cambio de batería,2023-08-13 13:53:00
Sony,Xperia 10,Sonido bajo,Revisión completa,2023-02-28 09:22:00
Motorola,Moto G7,No reconoce SIM,Actualización de software,2024-06-04 00:09:00
Xiaomi,Poco X3,Cámara falla,Reemplazo de módulo,2024-08-25 15:53:00
Apple,iPhone 8,Pantalla rota,Reparación de placa,2024-05-20 09:53:00
Samsung,A30,Sonido bajo,Reemplazo de módulo,2023-02-01 14:03:00
Oppo,A54,Se reinicia solo,Soldadura puntual,2023-10-18 18:50:00
Sony,Xperia 1,Cámara falla,Actualización de software,2024-11-30 13:49:00
Nokia,2.1,Sonido bajo,Reparación de placa,2024-03-06 16:10:00
Huawei,P40,Se reinicia solo,Limpieza de puerto,2024-06-25 00:16:00
Xiaomi,Poco M4,WiFi no funciona,Limpieza de puerto,2023-11-26 02:39:00
Motorola,Moto E6,Sonido bajo,Reparación de placa,2024-03-15 06:54:00
Sony,Xperia 5,Batería no carga,Revisión completa,2023-02-03 12:57:00
Sony,Xperia 5,Se reinicia solo,Revisión completa,2024-06-13 12:52:00
Sony,Xperia 5,Pantalla rota,Reparación de placa,2024-03-11 13:54:00
Sony,Xperia 10,Cámara falla,Revisión completa,2023-02-22 03:45:00
Huawei,P20,No reconoce SIM,Reparación de placa,2023-08-17 23:22:00
Apple,iPhone X,No vibra,Limpieza de puerto,2024-02-03 21:29:00
Apple,iPhone X,No vibra,Reemplazo de módulo,2024-08-04 02:29:00
Xiaomi,Mi 11,No reconoce SIM,Reemplazo de módulo,2024-10-07 07:32:00
Huawei,P40,Batería no carga,Actualización de software,2023-04-20 04:00:00
Huawei,Y7,Se calienta,Cambio de flex,2023-12-15 18:35:00
Huawei,P20,Se reinicia solo,Cambio de pantalla,2023-03-11 14:26:00
Apple,iPhone 8,WiFi no funciona,Actualización de software,2024-05-26 08:10:00
Nokia,3.2,No enciende,Soldadura puntual,2024-06-01 16:18:00
Samsung,A30,No enciende,Cambio de pantalla,2023-11-19 02:07:00
Motorola,Moto G8,Se calienta,Cambio de batería,2023-12-28 20:03:00
Samsung,A20,Cámara falla,Reparación de placa,2023-09-12 21:33:00
Motorola,Moto G9,No vibra,Revisión completa,2023-01-23 00:03:00
Nokia,2.1,Batería no carga,Revisión completa,2023-08-20 07:31:00
Apple,iPhone 13,No vibra,Cambio de batería,2023-02-28 00:39:00
Motorola,Moto G7,No enciende,Revisión completa,2023-12-29 00:36:00
Samsung,A10,Batería no carga,Actualización de software,2023-04-02 00:53:00
Motorola,Moto G9,Batería no carga,Soldadura puntual,2024-09-21 01:09:00
